CardID,R_Score,F_Score,M_Score,RFM_Segment,Segment
C0100045140,4,2,3,423,Other
C0100045315,3,4,2,342,Other
C0100045649,3,1,1,311,Other
C0100045668,3,1,4,314,Other
C0100045728,3,1,3,313,Other
C0100045876,5,5,4,554,Lovers
C0100046511,2,1,4,214,Other
C0100046905,5,2,4,524,Other
C0100047465,2,2,1,221,Other
C0100047987,2,2,1,221,Other
C0100048089,2,2,5,225,Other
C0100048125,1,5,3,153,Other
C0100048383,3,5,3,353,Other
C0100048487,2,4,3,243,Other
C0100048835,1,1,1,111,Other
C0100049638,2,2,2,222,Other
C0100050373,2,5,5,255,Other
C0100050607,3,2,1,321,Other
C0100050881,4,4,3,443,Other
C0100051040,5,1,1,511,Apprentice
C0100051340,4,4,4,444,Lovers
C0100051612,3,2,2,322,Other
C0100052332,3,1,5,315,Other
C0100052526,1,2,2,122,Other
C0100053026,5,5,2,552,Other
C0100053395,4,3,5,435,Other
C0100053859,3,2,2,322,Other
C0100054367,5,5,5,555,Soulmates
C0100055079,5,5,5,555,Soulmates
C0100055325,2,3,2,232,Other
C0100055488,2,2,3,223,Other
C0100056052,5,2,5,525,Other
C0100057309,5,5,5,555,Soulmates
C0100057366,5,3,4,534,Other
C0100057771,4,5,5,455,Lovers
C0100058149,3,1,3,313,Other
C0100058242,2,3,3,233,Other
C0100058324,3,2,1,321,Other
C0100058331,2,2,2,222,Other
C0100058669,2,3,3,233,Other
C0100058764,1,5,5,155,Ex-Lovers
C0100059062,3,3,5,335,Other
C0100059120,5,1,3,513,Other
C0100059381,2,1,3,213,Other
C0100059847,3,5,5,355,Other
C0100060328,2,2,4,224,Other
C0100060678,3,2,3,323,Other
C0100061403,1,4,3,143,Other
C0100062063,3,1,4,314,Other
C0100062438,3,2,4,324,Other
C0100062708,3,2,2,322,Other
C0100062987,4,3,1,431,Other
C0100063070,4,1,1,411,Other
C0100063500,2,3,4,234,Other
C0100063688,2,4,5,245,Other
C0100063896,1,1,1,111,Other
C0100063987,3,2,3,323,Other
C0100064025,3,1,2,312,Other
C0100064120,3,1,4,314,Other
C0100064550,3,5,4,354,Other
C0100064668,1,1,3,113,Other
C0100065000,4,4,5,445,Lovers
C0100065103,4,2,2,422,Other
C0100065859,3,3,2,332,Other
C0100065937,2,2,3,223,Other
C0100066267,4,4,3,443,Other
C0100066398,5,1,5,515,Other
C0100067022,3,1,2,312,Other
C0100067185,5,5,5,555,Soulmates
C0100067220,5,1,5,515,Other
C0100068223,5,2,4,524,Other
C0100068252,3,2,5,325,Other
C0100068498,1,5,4,154,Other
C0100068611,3,2,1,321,Other
C0100068810,2,2,2,222,Other
C0100068929,3,3,4,334,Other
C0100069107,1,1,1,111,Other
C0100069117,5,1,1,511,Apprentice
C0100069385,3,2,2,322,Other
C0100069823,3,2,2,322,Other
C0100070019,2,2,2,222,Other
C0100070283,4,2,4,424,Other
C0100070619,3,2,3,323,Other
C0100070993,5,5,5,555,Soulmates
C0100071668,4,4,2,442,Other
C0100072173,4,4,3,443,Other
C0100072553,3,3,5,335,Other
C0100072753,3,1,3,313,Other
C0100073195,4,2,4,424,Other
C0100073474,1,1,2,112,Other
C0100073984,5,5,5,555,Soulmates
C0100074117,4,5,3,453,Other
C0100074327,4,3,1,431,Other
C0100074417,3,3,3,333,Other
C0100074662,1,1,2,112,Other
C0100074745,2,5,3,253,Other
C0100074945,1,1,1,111,Other
C0100074960,1,5,2,152,Other
C0100075034,5,5,5,555,Soulmates
C0100076563,3,1,4,314,Other
C0100077249,4,5,5,455,Lovers
C0100077250,5,3,4,534,Other
C0100077260,5,1,3,513,Other
C0100077892,5,5,5,555,Soulmates
C0100078220,4,5,5,455,Lovers
C0100078423,1,1,2,112,Other
C0100078580,5,4,1,541,Other
C0100078632,5,3,3,533,Other
C0100079000,5,1,3,513,Other
C0100079071,5,2,3,523,Other
C0100079273,2,2,4,224,Other
C0100079386,4,1,3,413,Other
C0100079764,1,1,1,111,Other
C0100080648,1,2,1,121,Other
C0100080797,2,1,4,214,Other
C0100080982,2,3,4,234,Other
C0100081708,2,3,3,233,Other
C0100081813,2,4,3,243,Other
C0100082574,3,3,5,335,Other
C0100082777,5,1,1,511,Apprentice
C0100082867,4,5,5,455,Lovers
C0100082954,5,4,4,544,Lovers
C0100082993,1,2,1,121,Other
C0100083064,5,5,4,554,Lovers
C0100083335,4,2,2,422,Other
C0100083605,1,1,1,111,Other
C0100083651,1,5,4,154,Other
C0100083693,5,5,4,554,Lovers
C0100083838,2,3,2,232,Other
C0100083912,4,3,3,433,Other
C0100083968,2,3,2,232,Other
C0100084786,1,5,3,153,Other
C0100085226,3,2,3,323,Other
C0100085593,2,5,3,253,Other
C0100085641,5,5,5,555,Soulmates
C0100085688,5,5,3,553,Other
C0100085823,4,1,4,414,Other
C0100085967,4,3,4,434,Other
C0100086490,4,5,5,455,Lovers
C0100086961,2,1,1,211,Other
C0100086983,4,5,5,455,Lovers
C0100087047,5,4,3,543,Other
C0100087126,3,3,3,333,Other
C0100087259,3,1,1,311,Other
C0100087579,4,1,2,412,Other
C0100087614,5,5,5,555,Soulmates
C0100087748,2,4,4,244,Other
C0100088157,2,2,4,224,Other
C0100088416,2,3,3,233,Other
C0100088501,1,1,1,111,Other
C0100088603,5,5,5,555,Soulmates
C0100088710,1,5,3,153,Other
C0100088728,5,2,3,523,Other
C0100088904,2,3,3,233,Other
C0100089783,1,1,1,111,Other
C0100089846,5,5,5,555,Soulmates
C0100090144,1,1,2,112,Other
C0100090282,2,2,2,222,Other
C0100090676,5,3,3,533,Other
C0100090786,1,1,1,111,Other
C0100090967,5,2,4,524,Other
C0100091092,1,1,2,112,Other
C0100091615,4,3,5,435,Other
C0100091782,4,5,5,455,Lovers
C0100091847,4,3,1,431,Other
C0100091892,2,3,5,235,Other
C0100092102,5,3,2,532,Other
C0100092282,1,1,1,111,Other
C0100092658,4,5,5,455,Lovers
C0100093154,5,2,2,522,Other
C0100093620,5,2,5,525,Other
C0100094748,2,5,3,253,Other
C0100094978,4,4,3,443,Other
C0100095192,1,1,2,112,Other
C0100095597,4,2,1,421,Other
C0100095697,4,3,1,431,Other
C0100095820,4,1,1,411,Other
C0100095870,5,5,5,555,Soulmates
C0100097016,4,5,4,454,Lovers
C0100097185,1,1,3,113,Other
C0100099715,4,4,3,443,Other
C0100099759,4,5,5,455,Lovers
C0100100256,5,2,2,522,Other
C0100100411,1,4,4,144,Other
C0100101238,5,5,1,551,Other
C0100101308,5,1,1,511,Apprentice
C0100101446,5,5,4,554,Lovers
C0100102024,1,5,4,154,Other
C0100102067,4,5,2,452,Other
C0100102353,4,2,2,422,Other
C0100102508,4,5,5,455,Lovers
C0100102911,5,5,5,555,Soulmates
C0100103390,5,5,5,555,Soulmates
C0100103464,5,4,1,541,Other
C0100103516,1,1,1,111,Other
C0100103624,3,3,4,334,Other
C0100103670,4,5,5,455,Lovers
C0100104360,1,5,4,154,Other
C0100104609,5,3,1,531,Other
C0100104783,4,1,3,413,Other
C0100105240,5,5,5,555,Soulmates
C0100105794,3,3,1,331,Other
