CardID,R_Score,F_Score,M_Score,RFM_Segment,Segment
C0101736753,5,3,3,533,Other
C0101736829,1,1,1,111,Other
C0101737005,3,4,4,344,Other
C0101737573,4,1,2,412,Other
C0101737603,1,5,4,154,Other
C0101737610,1,5,3,153,Other
C0101737708,5,3,5,535,Other
C0101737723,5,1,5,515,Other
C0101738619,4,1,2,412,Other
C0101738996,5,5,4,554,Lovers
C0101739300,3,1,1,311,Other
C0101739409,2,5,5,255,Other
C0101739754,5,1,5,515,Other
C0101739845,3,2,2,322,Other
C0101739989,3,2,5,325,Other
C0101740002,4,4,4,444,Lovers
C0101740083,5,2,1,521,Other
C0101740128,2,3,1,231,Other
C0101740478,5,3,3,533,Other
C0101740561,2,3,4,234,Other
C0101740999,1,2,3,123,Other
C0101741173,4,1,3,413,Other
C0101741257,3,1,4,314,Other
C0101741755,3,2,4,324,Other
C0101742460,2,2,3,223,Other
C0101742621,5,4,5,545,Lovers
C0101742775,4,1,2,412,Other
C0101742788,2,3,2,232,Other
C0101742864,4,3,2,432,Other
C0101743601,2,3,4,234,Other
C0101743967,1,1,1,111,Other
C0101744060,5,2,1,521,Other
C0101744528,3,2,4,324,Other
C0101745014,5,5,5,555,Soulmates
C0101745544,4,3,4,434,Other
C0101745627,4,3,1,431,Other
C0101745718,2,2,3,223,Other
C0101745959,1,2,1,121,Other
C0101746122,1,3,4,134,Other
C0101746669,4,5,4,454,Lovers
C0101746780,2,3,3,233,Other
C0101747154,2,2,2,222,Other
C0101747159,3,3,3,333,Other
C0101747460,4,1,3,413,Other
C0101747510,3,2,5,325,Other
C0101747698,2,1,1,211,Other
C0101748393,5,4,3,543,Other
C0101748674,5,1,2,512,Other
C0101748869,4,3,3,433,Other
C0101749324,5,1,1,511,Apprentice
C0101749357,3,2,2,322,Other
C0101749376,2,2,4,224,Other
C0101749397,3,1,4,314,Other
C0101749729,2,1,1,211,Other
C0101750217,5,5,5,555,Soulmates
C0101750373,5,1,1,511,Apprentice
C0101750608,5,4,5,545,Lovers
C0101750834,4,1,3,413,Other
C0101751075,5,5,5,555,Soulmates
C0101751082,2,1,2,212,Other
C0101751268,2,3,4,234,Other
C0101751584,3,2,5,325,Other
C0101751631,3,2,1,321,Other
C0101751728,3,3,2,332,Other
C0101751792,3,3,2,332,Other
C0101751796,2,3,3,233,Other
C0101752086,4,4,1,441,Other
C0101752404,5,1,3,513,Other
C0101752541,2,2,5,225,Other
C0101752895,1,1,2,112,Other
C0101753340,3,3,4,334,Other
C0101753493,1,1,1,111,Other
C0101753607,4,3,3,433,Other
C0101754392,2,4,4,244,Other
C0101754451,1,1,1,111,Other
C0101754583,1,2,1,121,Other
C0101754673,3,2,3,323,Other
C0101754807,1,1,1,111,Other
C0101755608,1,1,3,113,Other
C0101755868,3,5,5,355,Other
C0101755900,5,5,2,552,Other
C0101755921,5,2,2,522,Other
C0101756500,5,4,5,545,Lovers
C0101756537,3,3,2,332,Other
C0101756688,4,1,3,413,Other
C0101756898,4,5,5,455,Lovers
C0101757150,4,5,5,455,Lovers
C0101757388,5,1,1,511,Apprentice
C0101757802,1,1,3,113,Other
C0101757807,1,2,2,122,Other
C0101758204,5,2,4,524,Other
C0101758331,5,3,2,532,Other
C0101758637,5,5,5,555,Soulmates
C0101758887,2,3,1,231,Other
C0101759459,2,1,5,215,Other
C0101759579,2,3,3,233,Other
C0101759888,3,1,3,313,Other
C0101760035,2,2,5,225,Other
C0101760321,5,3,5,535,Other
C0101760770,1,1,1,111,Other
C0101761085,5,2,3,523,Other
C0101761138,4,5,5,455,Lovers
C0101761449,5,5,5,555,Soulmates
C0101762016,1,1,1,111,Other
C0101762397,4,2,2,422,Other
C0101762459,1,1,3,113,Other
C0101762601,3,3,2,332,Other
C0101762619,3,3,4,334,Other
C0101762733,5,1,3,513,Other
C0101763315,4,5,2,452,Other
C0101763402,5,5,3,553,Other
C0101764305,4,5,5,455,Lovers
C0101764514,5,3,2,532,Other
C0101764601,5,3,2,532,Other
C0101764606,3,2,2,322,Other
C0101764690,5,3,1,531,Other
C0101764844,4,1,2,412,Other
C0101764927,1,2,2,122,Other
C0101765108,3,1,4,314,Other
C0101765407,1,1,1,111,Other
C0101765578,2,2,2,222,Other
C0101765719,4,1,1,411,Other
C0101765942,4,4,5,445,Lovers
C0101765999,2,4,5,245,Other
C0101766070,2,1,2,212,Other
C0101766187,4,4,2,442,Other
C0101766473,5,5,2,552,Other
C0101766628,2,4,3,243,Other
C0101766766,1,1,4,114,Other
C0101766875,5,5,4,554,Lovers
C0101767527,3,2,5,325,Other
C0101767798,5,2,2,522,Other
C0101767988,4,1,3,413,Other
C0101768272,1,1,2,112,Other
C0101768334,4,5,2,452,Other
C0101768496,5,5,4,554,Lovers
C0101768775,4,5,5,455,Lovers
C0101768862,3,5,4,354,Other
C0101768870,1,2,1,121,Other
C0101768886,5,2,1,521,Other
C0101769194,5,1,1,511,Apprentice
C0101769202,2,2,1,221,Other
C0101769235,3,2,4,324,Other
C0101769552,4,2,4,424,Other
C0101769686,3,5,3,353,Other
C0101769761,3,2,2,322,Other
C0101770695,3,1,3,313,Other
C0101771207,2,3,2,232,Other
C0101772045,5,2,5,525,Other
C0101772142,4,3,4,434,Other
C0101772162,1,3,2,132,Other
C0101772512,5,1,3,513,Other
C0101772874,1,3,3,133,Other
C0101772909,5,4,5,545,Lovers
C0101773054,1,5,2,152,Other
C0101773139,5,5,5,555,Soulmates
C0101773331,1,1,1,111,Other
C0101855575,2,2,2,222,Other
C0101855732,3,1,4,314,Other
C0101855883,1,1,1,111,Other
C0101856036,4,3,3,433,Other
C0101856325,1,1,1,111,Other
C0101856842,2,1,1,211,Other
C0101857013,2,3,3,233,Other
C0101857515,2,5,5,255,Other
C0101857623,2,3,4,234,Other
C0101857788,2,3,3,233,Other
C0101858081,1,1,1,111,Other
C0101858318,2,1,1,211,Other
C0101859113,2,3,4,234,Other
C0101859414,3,4,3,343,Other
C0101859433,3,4,4,344,Other
C0101859657,4,1,1,411,Other
C0101859897,3,2,4,324,Other
C0101860045,3,2,3,323,Other
C0101860322,4,1,3,413,Other
C0101860393,2,5,3,253,Other
C0101860513,5,5,4,554,Lovers
C0101860577,1,5,4,154,Other
C0101860745,4,3,3,433,Other
C0101860873,4,2,3,423,Other
C0101860946,3,5,4,354,Other
C0101861091,4,2,3,423,Other
C0101861906,2,1,1,211,Other
C0101862037,3,5,3,353,Other
C0101862122,1,1,1,111,Other
C0101862131,5,3,2,532,Other
C0101862488,5,5,5,555,Soulmates
C0101862951,2,3,2,232,Other
C0101863017,1,1,1,111,Other
C0101863341,5,4,2,542,Other
C0101864012,5,2,2,522,Other
C0101864114,2,1,5,215,Other
C0101864287,2,1,4,214,Other
C0101864650,5,3,2,532,Other
C0101864806,4,1,1,411,Other
C0101865125,5,4,4,544,Lovers
C0101865254,5,3,1,531,Other
C0101865837,4,1,5,415,Other
C0101866377,3,3,2,332,Other
C0101866654,1,5,5,155,Ex-Lovers
C0101866809,4,5,5,455,Lovers
C0101867432,5,5,5,555,Soulmates
C0101867480,2,1,2,212,Other
C0101867522,3,1,2,312,Other
C0101867629,3,3,1,331,Other
C0101868050,3,2,3,323,Other
C0101868386,1,1,2,112,Other
C0101868598,3,3,2,332,Other
C0101868665,2,2,4,224,Other
C0101868753,4,2,4,424,Other
C0101869593,1,5,1,151,Other
C0101870014,1,5,4,154,Other
C0101870159,5,5,3,553,Other
C0101870270,5,5,1,551,Other
C0101870297,2,3,5,235,Other
C0101870387,3,1,5,315,Other
C0101870874,2,3,3,233,Other
C0101871326,3,3,2,332,Other
C0101871421,1,2,1,121,Other
C0101871848,1,5,4,154,Other
C0101872070,2,3,2,232,Other
C0101872134,4,1,2,412,Other
C0101872191,1,1,1,111,Other
C0101872517,5,5,3,553,Other
C0101872591,5,1,2,512,Other
C0101872664,5,3,2,532,Other
C0101872815,2,1,3,213,Other
C0101873153,4,1,4,414,Other
C0101873322,4,2,4,424,Other
C0101873870,1,1,5,115,Other
C0101873962,3,2,3,323,Other
C0101874479,3,3,2,332,Other
C0101874531,3,4,3,343,Other
C0101874573,1,5,5,155,Ex-Lovers
C0101874696,1,1,2,112,Other
C0101874711,1,1,4,114,Other
C0101875190,3,1,2,312,Other
C0101875191,2,4,1,241,Other
C0101875578,4,4,2,442,Other
C0101875585,3,2,3,323,Other
C0101875800,5,5,4,554,Lovers
C0101875881,5,3,5,535,Other
C0101876426,2,1,5,215,Other
C0101876736,3,1,5,315,Other
C0101876963,3,5,2,352,Other
C0101877059,2,2,4,224,Other
C0101877689,5,4,2,542,Other
C0101877884,3,3,1,331,Other
C0101877920,3,1,3,313,Other
C0101878397,2,4,1,241,Other
C0101878587,5,1,5,515,Other
C0101878969,4,3,2,432,Other
C0101879135,5,4,4,544,Lovers
C0101879309,5,5,5,555,Soulmates
C0101879327,2,4,4,244,Other
C0101879680,5,3,2,532,Other
C0101879811,1,2,3,123,Other
C0101880832,5,3,2,532,Other
C0101880917,3,1,3,313,Other
C0101881046,5,5,5,555,Soulmates
C0101881664,5,1,2,512,Other
C0101882194,5,3,3,533,Other
C0101882291,2,4,1,241,Other
C0101882445,2,1,4,214,Other
C0101882882,3,1,1,311,Other
C0101882966,3,3,4,334,Other
C0101883149,1,2,2,122,Other
C0101883674,4,5,5,455,Lovers
C0101883680,3,5,5,355,Other
C0101883832,2,5,5,255,Other
C0101883857,5,5,5,555,Soulmates
C0101884550,2,3,2,232,Other
C0101885423,2,2,4,224,Other
C0101885674,2,1,3,213,Other
C0101885904,5,1,1,511,Apprentice
C0101886410,2,1,3,213,Other
C0101886732,4,3,5,435,Other
C0101886787,3,1,4,314,Other
C0101887220,3,4,4,344,Other
C0101887479,2,1,4,214,Other
C0101888173,2,2,5,225,Other
C0101888362,3,4,5,345,Other
C0101888453,4,1,1,411,Other
C0101889009,5,5,5,555,Soulmates
C0101889404,3,2,3,323,Other
C0101889677,5,1,3,513,Other
C0101889981,5,2,2,522,Other
C0101890480,5,2,4,524,Other
C0101890550,1,1,1,111,Other
C0101890976,5,2,3,523,Other
C0101891301,2,3,2,232,Other
C0101891314,5,3,3,533,Other
C0101891368,1,1,2,112,Other
C0101891747,5,2,5,525,Other
C0101891825,3,1,2,312,Other
C0101891890,2,1,1,211,Other
C0101892287,4,3,3,433,Other
C0101892622,5,1,1,511,Apprentice
C0101892631,5,1,4,514,Other
C0101892661,5,2,2,522,Other
C0101892698,4,1,1,411,Other
C0101892808,1,1,1,111,Other
C0101894319,1,1,4,114,Other
C0101894473,2,3,2,232,Other
C0101894497,2,2,2,222,Other
C0101894760,2,4,3,243,Other
C0101895408,5,2,5,525,Other
C0101895641,3,4,3,343,Other
C0101895752,5,2,3,523,Other
C0101895814,3,3,3,333,Other
C0101895852,5,1,1,511,Apprentice
C0101896963,3,2,5,325,Other
C0101897638,4,3,3,433,Other
C0101898335,5,2,1,521,Other
C0101898371,5,5,5,555,Soulmates
C0101898538,1,3,4,134,Other
C0101898808,2,2,2,222,Other
C0101898831,5,4,3,543,Other
C0101899073,2,4,3,243,Other
C0101899274,4,5,5,455,Lovers
C0101899367,1,1,1,111,Other
C0101900732,4,4,2,442,Other
C0101900742,1,1,1,111,Other
C0101900759,3,1,2,312,Other
C0101900794,1,2,4,124,Other
C0101901207,1,5,4,154,Other
C0101901434,4,5,5,455,Lovers
C0101901749,3,4,5,345,Other
C0101901927,3,5,5,355,Other
C0101902004,4,1,3,413,Other
C0101902253,1,1,1,111,Other
C0101902422,2,1,2,212,Other
C0101902439,4,2,2,422,Other
C0101902723,3,3,2,332,Other
C0101902777,4,5,5,455,Lovers
C0101903024,4,3,2,432,Other
C0101903057,5,5,5,555,Soulmates
C0101903354,3,3,2,332,Other
C0101903673,3,2,2,322,Other
C0101903739,4,5,5,455,Lovers
C0101903764,4,5,5,455,Lovers
C0101904507,5,5,3,553,Other
C0101904519,5,3,4,534,Other
C0101904722,4,5,5,455,Lovers
C0101904934,2,3,2,232,Other
C0101905373,5,2,2,522,Other
C0101905388,3,1,1,311,Other
C0101905424,5,3,1,531,Other
C0101906118,4,5,5,455,Lovers
C0101906636,1,1,3,113,Other
C0101906887,4,2,2,422,Other
C0101907158,5,2,2,522,Other
C0101907431,4,5,5,455,Lovers
C0101907468,2,2,3,223,Other
C0101907573,1,1,1,111,Other
C0101907671,1,1,2,112,Other
C0101907783,1,1,5,115,Other
C0101908525,1,2,5,125,Other
C0101908820,3,2,3,323,Other
C0101908928,5,3,2,532,Other
C0101909181,2,3,4,234,Other
C0101909309,3,3,2,332,Other
C0101909628,1,1,2,112,Other
C0101909795,2,1,4,214,Other
C0101909992,2,1,3,213,Other
C0101910040,5,4,3,543,Other
C0101910374,4,3,3,433,Other
C0101910506,5,1,3,513,Other
C0101910727,2,4,4,244,Other
C0101910931,1,1,2,112,Other
C0101911497,5,1,1,511,Apprentice
C0101911570,3,1,5,315,Other
C0101911642,3,2,3,323,Other
C0101912036,4,3,1,431,Other
C0101912194,2,3,2,232,Other
C0101912545,3,1,3,313,Other
C0101912563,3,3,1,331,Other
C0101912778,5,1,2,512,Other
C0101912957,4,5,5,455,Lovers
C0101913116,4,1,3,413,Other
C0101913433,2,2,3,223,Other
C0101913522,3,2,3,323,Other
C0101913984,5,1,3,513,Other
C0101914056,1,2,4,124,Other
C0101914339,5,2,4,524,Other
C0101914475,4,5,4,454,Lovers
C0101914952,5,2,4,524,Other
C0101915823,4,2,3,423,Other
C0101916311,3,1,1,311,Other
C0101916564,5,1,1,511,Apprentice
C0101916836,2,1,1,211,Other
C0101916872,1,5,3,153,Other
C0101917491,2,4,2,242,Other
C0101917581,1,1,1,111,Other
C0101917776,1,1,2,112,Other
C0101917847,3,3,4,334,Other
C0101917857,3,1,5,315,Other
C0101917924,4,4,3,443,Other
C0101918141,3,2,2,322,Other
C0101918156,3,2,4,324,Other
C0101918224,2,2,2,222,Other
C0101918509,1,1,3,113,Other
C0101918557,1,1,5,115,Other
C0101918572,2,3,4,234,Other
C0101918927,1,2,2,122,Other
C0101919129,2,1,5,215,Other
C0101919216,4,5,5,455,Lovers
C0101919398,4,2,2,422,Other
C0101919596,2,1,1,211,Other
C0101919738,2,2,4,224,Other
C0101920041,2,3,3,233,Other
C0101920590,4,3,3,433,Other
C0101920848,3,3,3,333,Other
C0101920868,4,4,5,445,Lovers
C0101920942,4,3,1,431,Other
C0101920984,1,1,1,111,Other
C0101921087,1,5,5,155,Ex-Lovers
C0101921112,3,3,3,333,Other
C0101921283,4,5,5,455,Lovers
C0101921515,4,5,5,455,Lovers
C0101921594,3,2,2,322,Other
C0101921799,4,5,4,454,Lovers
C0101921878,4,5,3,453,Other
C0101922090,1,1,2,112,Other
C0101922460,3,1,3,313,Other
C0101922901,2,3,5,235,Other
C0101922975,5,3,3,533,Other
C0101923067,4,3,3,433,Other
C0101923201,3,2,2,322,Other
C0101923469,4,4,5,445,Lovers
C0101923527,2,1,2,212,Other
C0101923844,4,5,5,455,Lovers
C0101923854,2,2,5,225,Other
C0101923971,4,5,5,455,Lovers
C0101924215,5,1,4,514,Other
C0101924426,1,1,1,111,Other
C0101925007,2,1,1,211,Other
C0101925192,5,2,2,522,Other
C0101925310,5,5,5,555,Soulmates
C0101925459,4,5,5,455,Lovers
C0101925653,1,1,2,112,Other
C0101926105,3,3,1,331,Other
C0101926255,5,1,4,514,Other
C0101926263,4,5,5,455,Lovers
C0101926702,2,2,3,223,Other
C0101927363,3,3,2,332,Other
C0101927421,1,1,1,111,Other
C0101928514,3,1,1,311,Other
C0101928875,4,2,4,424,Other
C0101929124,3,1,1,311,Other
C0101929169,4,5,5,455,Lovers
C0101929472,3,4,5,345,Other
C0101929498,5,2,1,521,Other
C0101929774,3,1,4,314,Other
C0101929794,3,5,5,355,Other
C0101929879,5,1,3,513,Other
C0101930387,2,2,2,222,Other
C0101930584,4,4,4,444,Lovers
C0101931016,5,1,4,514,Other
C0101931124,3,1,1,311,Other
C0101931347,2,3,2,232,Other
C0101931499,4,1,2,412,Other
C0101931629,5,5,5,555,Soulmates
C0101931833,3,2,2,322,Other
C0101932012,2,4,4,244,Other
C0101932165,3,1,1,311,Other
C0101932388,5,3,4,534,Other
C0101932732,5,5,3,553,Other
C0101933549,4,4,3,443,Other
C0101933668,3,2,5,325,Other
C0101933880,3,1,5,315,Other
C0101934237,3,1,5,315,Other
C0101934354,4,1,1,411,Other
C0101934405,2,2,4,224,Other
C0101934498,1,5,4,154,Other
C0101934560,5,1,4,514,Other
C0101934785,4,5,5,455,Lovers
C0101934916,2,1,4,214,Other
C0101935401,1,1,2,112,Other
C0101935982,3,1,3,313,Other
C0101936292,1,5,4,154,Other
C0101936360,3,1,4,314,Other
C0101936791,3,3,4,334,Other
C0101936836,2,2,4,224,Other
C0101937276,3,3,4,334,Other
C0101937779,4,4,3,443,Other
C0101938077,2,4,3,243,Other
C0101938096,2,3,3,233,Other
C0101938356,4,1,1,411,Other
C0101938406,2,3,4,234,Other
C0101938677,4,3,1,431,Other
C0101938769,2,3,4,234,Other
C0101939221,2,2,5,225,Other
C0101939239,1,1,3,113,Other
C0101939254,2,1,5,215,Other
C0101939589,1,5,4,154,Other
C0101940065,2,2,2,222,Other
C0102023682,1,5,4,154,Other
C0102023958,5,1,5,515,Other
C0102024002,2,1,3,213,Other
C0102024267,4,5,1,451,Other
C0102024462,2,2,2,222,Other
C0102024758,4,1,1,411,Other
C0102025336,4,3,1,431,Other
C0102025678,3,1,1,311,Other
C0102025682,2,1,3,213,Other
C0102025893,3,2,5,325,Other
C0102026323,2,4,1,241,Other
C0102027289,3,1,3,313,Other
C0102027330,3,4,3,343,Other
C0102027677,4,3,3,433,Other
C0102027697,4,2,2,422,Other
C0102027883,4,1,2,412,Other
C0102028573,1,1,3,113,Other
C0102028585,1,1,1,111,Other
C0102028618,4,3,1,431,Other
C0102028771,2,2,2,222,Other
C0102028891,2,1,4,214,Other
C0102029152,5,5,4,554,Lovers
C0102029774,4,1,1,411,Other
C0102029822,1,3,2,132,Other
C0102030050,3,1,3,313,Other
C0102030156,3,2,2,322,Other
C0102030451,4,5,5,455,Lovers
C0102030495,4,5,5,455,Lovers
C0102030795,5,1,3,513,Other
C0102031628,4,1,1,411,Other
C0102032019,2,3,4,234,Other
C0102032102,2,5,4,254,Other
C0102032225,1,1,1,111,Other
C0102032455,2,5,5,255,Other
C0102032672,2,1,4,214,Other
C0102032776,4,5,5,455,Lovers
C0102033042,2,3,2,232,Other
C0102034146,5,3,2,532,Other
C0102034241,3,3,4,334,Other
C0102035154,3,4,3,343,Other
C0102035271,2,3,3,233,Other
C0102035274,1,1,3,113,Other
C0102035344,5,5,5,555,Soulmates
C0102035448,5,3,2,532,Other
C0102035801,2,2,2,222,Other
C0102035847,1,1,1,111,Other
C0102036037,1,5,3,153,Other
C0102036405,1,1,1,111,Other
C0102036506,3,2,3,323,Other
C0102036698,3,2,3,323,Other
C0102037380,5,1,4,514,Other
C0102037771,5,4,2,542,Other
C0102037817,4,3,3,433,Other
C0102038274,1,1,1,111,Other
C0102038462,1,2,1,121,Other
C0102038932,2,3,1,231,Other
C0102039231,5,4,4,544,Lovers
C0102039665,1,1,1,111,Other
C0102039859,5,4,4,544,Lovers
C0102039986,1,1,1,111,Other
C0102040180,1,1,2,112,Other
C0102040348,3,2,4,324,Other
C0102040595,5,2,2,522,Other
C0102041358,3,3,1,331,Other
C0102041701,3,1,1,311,Other
C0102041749,1,1,2,112,Other
C0102041950,1,1,1,111,Other
C0102042159,4,4,4,444,Lovers
C0102042572,2,2,2,222,Other
C0102042978,1,1,3,113,Other
C0102043338,5,2,3,523,Other
C0102043409,4,5,3,453,Other
C0102043512,5,2,5,525,Other
C0102043663,2,2,3,223,Other
C0102043765,2,2,4,224,Other
C0102044071,1,4,2,142,Other
C0102044114,1,1,1,111,Other
C0102044442,4,5,5,455,Lovers
C0102044498,4,3,5,435,Other
C0102044693,3,1,1,311,Other
C0102044724,1,1,3,113,Other
C0102045309,5,5,5,555,Soulmates
C0102045423,5,1,4,514,Other
C0102045586,1,1,3,113,Other
C0102045979,3,1,1,311,Other
C0102046063,3,2,2,322,Other
C0102046219,3,5,5,355,Other
C0102046305,3,2,3,323,Other
C0102046557,1,5,2,152,Other
C0102046947,3,1,2,312,Other
C0102047128,1,1,3,113,Other
C0102047138,5,5,5,555,Soulmates
C0102047252,5,1,1,511,Apprentice
C0102047351,1,1,1,111,Other
C0102047431,1,1,2,112,Other
C0102048039,5,1,3,513,Other
C0102048365,2,1,5,215,Other
C0102048375,1,1,2,112,Other
C0102048423,1,2,1,121,Other
C0102048512,4,2,2,422,Other
C0102048531,5,5,5,555,Soulmates
C0102048800,2,1,3,213,Other
C0102049389,3,1,1,311,Other
C0102049522,4,1,1,411,Other
C0102049660,2,2,5,225,Other
C0102050125,4,5,2,452,Other
C0102050324,4,2,3,423,Other
C0102050850,5,1,3,513,Other
C0102051589,3,3,1,331,Other
C0102051996,3,3,3,333,Other
C0102052364,5,1,5,515,Other
C0102052382,1,1,1,111,Other
C0102052706,5,3,1,531,Other
C0102053639,4,2,2,422,Other
C0102053664,5,2,3,523,Other
C0102053681,3,2,4,324,Other
C0102053773,4,2,5,425,Other
C0102053820,4,1,5,415,Other
C0102053946,2,3,1,231,Other
C0102054185,1,1,1,111,Other
C0102055148,4,1,4,414,Other
C0102055266,5,1,4,514,Other
C0102055435,4,3,2,432,Other
C0102056148,4,5,5,455,Lovers
C0102056152,4,4,3,443,Other
C0102056309,4,1,5,415,Other
C0102056450,2,2,2,222,Other
C0102057079,5,5,5,555,Soulmates
C0102057242,4,5,2,452,Other
C0102057646,5,2,4,524,Other
C0102057744,4,2,4,424,Other
C0102058006,5,4,2,542,Other
C0102058153,3,2,3,323,Other
C0102058495,3,3,3,333,Other
C0102059073,3,2,4,324,Other
C0102060029,5,5,5,555,Soulmates
C0102060408,2,1,1,211,Other
C0102060708,5,1,4,514,Other
C0102060792,3,3,5,335,Other
C0102060918,1,2,2,122,Other
C0102061538,5,3,1,531,Other
C0102061747,1,3,4,134,Other
C0102062521,4,2,5,425,Other
C0102062650,3,1,1,311,Other
C0102063258,4,2,4,424,Other
C0102063593,3,2,2,322,Other
C0102064203,1,3,2,132,Other
C0102064364,1,1,1,111,Other
C0102064670,1,5,4,154,Other
C0102064750,5,5,5,555,Soulmates
C0102064870,3,3,1,331,Other
C0102064919,4,1,4,414,Other
C0102065044,1,2,2,122,Other
C0102065276,3,2,2,322,Other
C0102065783,4,2,2,422,Other
C0102066072,4,1,2,412,Other
C0102066158,1,1,1,111,Other
C0102066561,1,1,1,111,Other
C0102066591,1,1,1,111,Other
C0102066688,5,3,3,533,Other
C0102067471,3,5,5,355,Other
C0102068400,5,1,4,514,Other
C0102068614,5,1,2,512,Other
C0102068744,4,5,3,453,Other
C0102069125,3,3,3,333,Other
C0102069148,3,2,2,322,Other
C0102069723,2,3,3,233,Other
C0102069970,3,5,5,355,Other
C0102070047,5,2,4,524,Other
C0102070677,2,3,5,235,Other
C0102070862,4,5,5,455,Lovers
C0102071070,4,5,5,455,Lovers
C0102071365,2,2,1,221,Other
C0102071424,4,5,4,454,Lovers
C0102071503,5,2,4,524,Other
C0102071618,3,1,1,311,Other
C0102072174,1,1,1,111,Other
C0102072886,1,5,4,154,Other
C0102073156,1,2,3,123,Other
C0102073481,2,5,4,254,Other
C0102073551,5,1,1,511,Apprentice
C0102073858,2,2,2,222,Other
C0102073990,3,2,3,323,Other
C0102074460,1,2,2,122,Other
C0102074528,5,5,5,555,Soulmates
C0102075157,2,3,3,233,Other
C0102075587,5,2,2,522,Other
C0102075662,2,1,1,211,Other
C0102076013,1,1,1,111,Other
C0102076215,1,5,4,154,Other
C0102076504,4,3,2,432,Other
C0102076542,1,1,1,111,Other
C0102077286,1,5,2,152,Other
C0102077399,5,5,5,555,Soulmates
C0102078154,5,4,1,541,Other
C0102078682,4,4,3,443,Other
C0102078708,3,3,3,333,Other
C0102078964,5,5,5,555,Soulmates
C0102079068,1,5,4,154,Other
C0102079149,5,1,3,513,Other
C0102080026,4,2,4,424,Other
C0102080195,5,1,1,511,Apprentice
C0102080319,5,1,2,512,Other
C0102080818,2,2,3,223,Other
C0102080971,5,2,4,524,Other
C0102081268,1,5,3,153,Other
C0102081391,4,3,5,435,Other
C0102081584,5,2,3,523,Other
C0102081898,1,1,1,111,Other
C0102082080,4,3,2,432,Other
C0102082165,4,4,5,445,Lovers
C0102082195,4,2,5,425,Other
C0102082224,4,3,1,431,Other
C0102082269,4,2,2,422,Other
C0102082863,2,2,2,222,Other
C0102082946,5,1,4,514,Other
C0102083171,1,1,1,111,Other
C0102084044,2,3,4,234,Other
C0102084297,1,1,1,111,Other
C0102084681,3,1,4,314,Other
C0102084784,4,2,2,422,Other
C0102085004,3,5,2,352,Other
C0102085221,5,5,5,555,Soulmates
C0102085480,1,1,4,114,Other
C0102085505,2,1,2,212,Other
C0102085654,5,5,5,555,Soulmates
C0102085895,3,1,1,311,Other
C0102086348,1,1,2,112,Other
C0102086685,4,3,2,432,Other
C0102087200,1,1,3,113,Other
C0102087739,4,4,1,441,Other
C0102087996,4,1,2,412,Other
C0102088133,1,1,2,112,Other
C0102088300,1,1,4,114,Other
C0102088503,5,1,2,512,Other
C0102088553,4,1,3,413,Other
C0102088713,5,1,2,512,Other
C0102088729,2,3,3,233,Other
C0102088962,2,1,5,215,Other
C0102089113,5,2,4,524,Other
C0102089385,4,4,3,443,Other
C0102089419,4,5,4,454,Lovers
C0102089557,5,1,2,512,Other
C0102089614,3,1,4,314,Other
C0102089759,1,2,3,123,Other
C0102090046,2,2,1,221,Other
C0102090688,2,1,3,213,Other
C0102090697,3,5,5,355,Other
C0102090734,3,2,2,322,Other
C0102091254,2,2,2,222,Other
C0102091387,5,1,2,512,Other
C0102091478,4,4,4,444,Lovers
C0102091610,3,4,3,343,Other
C0102091657,3,1,3,313,Other
C0102091749,2,3,4,234,Other
C0102091887,4,5,5,455,Lovers
C0102092144,5,3,3,533,Other
C0102092678,3,3,4,334,Other
C0102092890,2,3,2,232,Other
C0102092977,1,1,1,111,Other
C0102092979,4,5,5,455,Lovers
C0102093121,4,5,5,455,Lovers
C0102094557,3,1,3,313,Other
C0102094800,5,5,5,555,Soulmates
C0102094941,5,3,2,532,Other
C0102095081,5,5,5,555,Soulmates
C0102095109,1,1,1,111,Other
C0102095483,1,1,1,111,Other
C0102096308,2,5,4,254,Other
C0102096386,5,5,2,552,Other
C0102096554,2,2,4,224,Other
C0102097268,5,5,5,555,Soulmates
C0102097583,2,3,3,233,Other
C0102098075,2,4,3,243,Other
C0102098147,4,5,5,455,Lovers
C0102099324,1,2,2,122,Other
C0102099372,3,2,4,324,Other
C0102099396,2,1,4,214,Other
C0102099491,5,5,5,555,Soulmates
C0102099674,4,1,1,411,Other
C0102099838,1,1,1,111,Other
C0102099935,4,1,5,415,Other
C0102100068,4,3,2,432,Other
C0102100249,2,1,1,211,Other
C0102100291,3,2,3,323,Other
C0102100699,1,2,1,121,Other
C0102100883,2,5,5,255,Other
C0102101096,3,1,4,314,Other
C0102101207,3,3,5,335,Other
C0102101291,2,5,4,254,Other
C0102101332,1,1,2,112,Other
C0102182367,1,1,2,112,Other
C0102182551,1,1,1,111,Other
C0102184045,3,2,3,323,Other
C0102184162,5,4,2,542,Other
C0102184261,3,1,2,312,Other
C0102184383,1,5,5,155,Ex-Lovers
C0102185054,2,5,5,255,Other
C0102185561,3,3,3,333,Other
C0102186535,3,1,1,311,Other
C0102186885,4,2,4,424,Other
C0102187713,5,5,5,555,Soulmates
C0102187873,3,2,1,321,Other
C0102188462,2,4,2,242,Other
C0102188495,3,4,3,343,Other
C0102188595,3,3,3,333,Other
